"Statement and Return Report

for Certification



Federal Primary - 06/28/2016


Queens County
 - 
Reform Party




Reform Representative in Congress


12th Congressional District


Vote for 1",,,,,,,
,,,,,,,
Total for Reform Representative in Congress (12th Congressional District) - Queens County,,,,,,,
Public Counter,0,,,,,,
Emergency,0,,,,,,
Absentee/Military,0,,,,,,
Federal,0,,,,,,
Affidavit,0,,,,,,
Total Ballots,0,,,,,,
Less - Inapplicable Federal/Special Presidential Ballots,0,,,,,,
Total Applicable Ballots,0,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"We certify this statement to be correct, and have caused the same to be attested by the signatures of the members of the board, or a majority thereof, on",Date,Secretary,Chairman,Chief Clerk,Canvassing Board,Canvassing Board,Deputy Chief Clerk
Page -1 of 1,,,,,,,
